make_numerico,model,fuel,gear,hp,year
9,C-Max,Gasoline,Manual,125.0,2019
44,Model 3,Electric,Automatic,487.0,2019
26,XJ,Diesel,Automatic,300.0,2019
37,Rover Range Rover Velar,Diesel,Automatic,300.0,2019
6,RAV 4,Gasoline,Automatic,218.0,2019
2,T6 Caravelle,Diesel,Automatic,150.0,2020
2,Golf Plus,Gasoline,Automatic,300.0,2020
2,ID.3,Electric,Automatic,204.0,2020
21,Across,Electric/Gasoline,Automatic,185.0,2020
19,Grand C4 SpaceTourer,Diesel,Automatic,131.0,2020
34,Grand Cherokee,Diesel,Automatic,250.0,2020
12,A7,Diesel,Automatic,286.0,2020
2,Passat Alltrack,Diesel,Automatic,190.0,2020
14,Stinger,Gasoline,Automatic,366.0,2020
9,Edge,Diesel,Automatic,238.0,2020
1,630,Diesel,Automatic,265.0,2020
2,T6.1 California,Diesel,Automatic,199.0,2020
36,Continental,Gasoline,Automatic,549.0,2020
12,RS3,Gasoline,Automatic,400.0,2020
10,S 350,Diesel,Automatic,286.0,2020
12,SQ5,Diesel,Automatic,347.0,2020
12,RS4,Gasoline,Automatic,450.0,2020
10,S 560,Gasoline,Automatic,469.0,2020
12,RS5,Gasoline,Automatic,450.0,2020
36,Bentayga,Gasoline,Automatic,635.0,2020
29,e,Electric,Automatic,154.0,2020
25,S90,Diesel,Automatic,190.0,2020
26,XE,Gasoline,Automatic,250.0,2020
25,V60 Cross Country,Gasoline,Automatic,250.0,2020
26,F-Pace,Diesel,Automatic,300.0,2020
37,Rover Range Rover Sport,Gasoline,Automatic,575.0,2020
18,Citigo,Electric,Automatic,83.0,2020
16,Cooper S,Gasoline,Automatic,192.0,2020
10,GLA 250,Gasoline,Automatic,211.0,2020
10,CLA 200,Gasoline,Automatic,163.0,2020
1,220,Diesel,Automatic,190.0,2020
11,Camaro,Gasoline,Manual,461.0,2020
1,135,Gasoline,Automatic,306.0,2020
10,CLA 220,Diesel,Automatic,190.0,2020
1,330,Diesel,Automatic,265.0,2020
1,X2 M,Gasoline,Automatic,306.0,2020
37,Rover Range Rover Evoque,Diesel,Automatic,179.0,2020
1,240,Gasoline,Automatic,340.0,2020
10,A 180,Gasoline,Manual,136.0,2020
2,Passat,Gasoline,Automatic,150.0,2020
10,GLA 200,Gasoline,Automatic,156.0,2020
3,Alhambra,Diesel,Automatic,150.0,2020
1,120,Diesel,Automatic,190.0,2020
2,Golf GTI,Gasoline,Automatic,245.0,2020
10,B 220,Gasoline,Automatic,190.0,2020
1,235,Gasoline,Automatic,306.0,2020
1,Z4,Gasoline,Automatic,258.0,2020
1,X3,Diesel,Automatic,190.0,2020
10,C 300,Electric/Diesel,Automatic,194.0,2020
10,V 220,Diesel,Automatic,163.0,2020
10,C 400,Gasoline,Automatic,333.0,2020
1,M2,Gasoline,Automatic,411.0,2020
